Day,曲順,候補曲ID,披露期待ポイント,曲順補正済み披露期待ポイント,日付別補正済みポイント累計,補正済みポイント累計,楽曲名,キャスト
1,1,144,3.0,3.1111111111111107,3.1111111111111107,3.1111111111111107,アニマル☆ステイション！,原嶋あかり
1,2,110,4.0,4.296296296296296,7.4074074074074066,7.4074074074074066,STEREOPHONIC ISOTONIC,中村温姫
1,3,138,3.2,3.555555555555556,10.962962962962962,10.962962962962962,Justice OR Voice,小笠原早紀、愛美、南早紀、香里有佐
1,4,132,4.0,4.592592592592593,15.555555555555554,15.555555555555554,鳥籠スクリプチュア,小岩井ことり
1,5,106,4.0,4.7407407407407405,20.296296296296294,20.296296296296294,Princess Be Ambitious!!,山崎はるか、大関英里、伊藤美来、駒形友梨、原嶋あかり、郁原ゆう、木戸衣吹、渡部優衣、浜崎奈々
1,6,109,4.0,4.888888888888889,25.185185185185183,25.185185185185183,STANDING ALIVE,角元明日香、中村温姫、近藤唯、山口立花子
1,7,70,5.0,6.296296296296297,31.48148148148148,31.48148148148148,ENTER→PLEASURE,夏川椎菜
1,8,75,5.0,6.481481481481481,37.96296296296296,37.96296296296296,たんけんぼうけん☆ハイホー隊,稲川英里
1,9,71,5.0,6.666666666666666,44.629629629629626,44.629629629629626,Home is a coming now!,渡部優衣
1,10,53,6.0,8.222222222222221,52.85185185185185,52.85185185185185,スペードのQ,郁原ゆう、雨宮天、斉藤佑圭
1,11,59,6.0,8.444444444444445,61.29629629629629,61.29629629629629,恋のLesson初級編,Machico
1,12,44,6.0,8.666666666666666,69.96296296296296,69.96296296296296,Special Wonderful Smile,麻倉もも、田村奈央、桐谷蝶々、近藤唯
1,13,50,6.0,8.88888888888889,78.85185185185185,78.85185185185185,カンパリーナ♡,野村香菜子、末柄里恵、平山笑美
1,14,46,6.0,9.11111111111111,87.96296296296296,87.96296296296296,vivid color,駒形友梨
1,15,27,7.0,10.88888888888889,98.85185185185185,98.85185185185185,エスケープ,藤井ゆきよ、愛美
1,16,23,7.0,11.148148148148149,110.0,110.0,Cut. Cut. Cut.,阿部里果、渡部恵子
1,17,26,7.0,11.407407407407408,121.4074074074074,121.4074074074074,あのね、聞いてほしいことがあるんだ,田村奈央
1,18,16,8.0,13.333333333333332,134.74074074074073,134.74074074074073,ミスティック・セレモニーへの招待状,Machico、小岩井ことり、木戸衣吹、平山笑美
