Day,曲順,候補曲ID,披露期待ポイント,曲順補正済み披露期待ポイント,日付別補正済みポイント累計,補正済みポイント累計,楽曲名,キャスト
1,1,110,4.0,4.148148148148148,4.148148148148148,4.148148148148148,STEREOPHONIC ISOTONIC,中村温姫
1,2,106,4.0,4.296296296296296,8.444444444444443,8.444444444444443,Princess Be Ambitious!!,山崎はるか、大関英里、伊藤美来、駒形友梨、原嶋あかり、郁原ゆう、木戸衣吹、渡部優衣、浜崎奈々
1,3,111,4.0,4.444444444444445,12.888888888888888,12.888888888888888,Sweet Sweet Soul,麻倉もも、小笠原早紀、稲川英里
1,4,132,4.0,4.592592592592593,17.48148148148148,17.48148148148148,鳥籠スクリプチュア,小岩井ことり
1,5,109,4.0,4.7407407407407405,22.22222222222222,22.22222222222222,STANDING ALIVE,角元明日香、中村温姫、近藤唯、山口立花子
1,6,71,5.0,6.111111111111112,28.333333333333332,28.333333333333332,Home is a coming now!,渡部優衣
1,7,75,5.0,6.296296296296297,34.629629629629626,34.629629629629626,たんけんぼうけん☆ハイホー隊,稲川英里
1,8,144,3.0,3.888888888888889,38.51851851851851,38.51851851851851,アニマル☆ステイション！,原嶋あかり
1,9,59,6.0,8.0,46.51851851851851,46.51851851851851,恋のLesson初級編,Machico
1,10,50,6.0,8.222222222222221,54.74074074074073,54.74074074074073,カンパリーナ♡,野村香菜子、末柄里恵、平山笑美
1,11,23,7.0,9.851851851851851,64.59259259259258,64.59259259259258,Cut. Cut. Cut.,阿部里果、渡部恵子
1,12,70,5.0,7.222222222222222,71.81481481481481,71.81481481481481,ENTER→PLEASURE,夏川椎菜
1,13,44,6.0,8.88888888888889,80.7037037037037,80.7037037037037,Special Wonderful Smile,麻倉もも、田村奈央、桐谷蝶々、近藤唯
1,14,53,6.0,9.11111111111111,89.81481481481481,89.81481481481481,スペードのQ,郁原ゆう、雨宮天、斉藤佑圭
1,15,22,7.0,10.88888888888889,100.7037037037037,100.7037037037037,...In The Name Of。 ...LOVE?,阿部里果
1,16,27,7.0,11.148148148148149,111.85185185185185,111.85185185185185,エスケープ,藤井ゆきよ、愛美
1,17,46,6.0,9.777777777777779,121.62962962962962,121.62962962962962,vivid color,駒形友梨
1,18,16,8.0,13.333333333333332,134.96296296296296,134.96296296296296,ミスティック・セレモニーへの招待状,Machico、小岩井ことり、木戸衣吹、平山笑美
1,19,12,8.25,14.055555555555555,149.0185185185185,149.0185185185185,クルリウタ,角元明日香、小笠原早紀、雨宮天、野村香菜子、香里有佐
1,20,13,8.25,14.36111111111111,163.37962962962962,163.37962962962962,花びらメモリーズ,大関英里、藤井ゆきよ、渡部恵子、南早紀
1,21,47,6.0,10.666666666666666,174.04629629629628,174.04629629629628,WHY?,山口立花子
1,22,28,7.0,12.703703703703704,186.74999999999997,186.74999999999997,ビギナーズ☆ストライク,斉藤佑圭
1,23,30,6.923076923076923,12.820512820512821,199.5705128205128,199.5705128205128,Supersonic Booster!,角元明日香、夏川椎菜、伊藤美来、田村奈央、阿部里果、平山笑美、愛美
1,24,21,7.6923076923076925,14.52991452991453,214.1004273504273,214.1004273504273,サウンド・オブ・ビギニング,Machico、麻倉もも、中村温姫、渡部優衣、野村香菜子、稲川英里、桐谷蝶々、渡部恵子
1,25,11,8.333333333333334,16.049382716049386,230.1498100664767,230.1498100664767,Like twinkling STARS,山崎はるか、藤井ゆきよ、小笠原早紀、原嶋あかり、郁原ゆう、末柄里恵、近藤唯、山口立花子、香里有佐
1,26,20,7.6923076923076925,15.099715099715098,245.2495251661918,245.2495251661918,オレンジ・エピソード,大関英里、駒形友梨、小岩井ことり、雨宮天、木戸衣吹、浜崎奈々、斉藤佑圭、南早紀
1,27,26,7.0,14.0,259.2495251661918,259.2495251661918,あのね、聞いてほしいことがあるんだ,田村奈央
2,1,160,2.0,2.074074074074074,2.074074074074074,261.3235992402659,Hang In There!,大関英里、渡部優衣
2,2,72,5.0,5.37037037037037,7.444444444444445,266.69396961063626,P.S I Love You,小岩井ことり、野村香菜子、近藤唯
2,3,138,3.2,3.555555555555556,11.0,270.2495251661918,Justice OR Voice,小笠原早紀、愛美、南早紀、香里有佐
2,4,51,6.0,6.888888888888889,17.88888888888889,277.1384140550807,ゲキテキ！ムテキ！恋したい！,角元明日香、中村温姫、原嶋あかり
2,5,56,6.0,7.111111111111111,25.0,284.2495251661918,メメント？モメント♪ルルルルル☆,山崎はるか、諏訪彩花、桐谷蝶々
2,6,37,6.4,7.822222222222223,32.82222222222222,292.071747388414,紙・心・ペン・心 - SHISHINPENSHIN -,駒形友梨、村川梨衣、浜崎奈々、平山笑美
2,7,131,4.0,5.037037037037037,37.85925925925926,297.108784425451,餞の鳥,田所あずさ、愛美
2,8,63,6.0,7.777777777777778,45.63703703703704,304.8865622032288,矛盾の月,小岩井ことり、郁原ゆう、南早紀
2,9,1,10.0,13.333333333333332,58.970370370370375,318.2198955365621,Clover Days,麻倉もも、上田麗奈、雨宮天、木戸衣吹
2,10,31,6.666666666666667,9.135802469135802,68.10617283950617,327.3556980056979,聖ミリオン女学園校歌,近藤唯、斉藤佑圭
2,11,114,4.0,5.62962962962963,73.7358024691358,332.9853276353275,White Vows,野村香菜子、髙橋ミナミ、末柄里恵、山口立花子、香里有佐
2,12,52,6.0,8.666666666666666,82.40246913580248,341.6519943019942,ショコラブル＊イブ,山崎はるか、藤井ゆきよ、小笠原早紀、夏川椎菜、駒形友梨
2,13,65,6.0,8.88888888888889,91.29135802469136,350.5408831908831,（※「悪役？令嬢」楽曲）,田所あずさ、村川梨衣、木戸衣吹
2,14,38,6.0,9.11111111111111,100.40246913580248,359.6519943019942,Bonnes! Bonnes!! Vacances!!!,Machico、大関英里、浜崎奈々
2,15,18,8.0,12.444444444444445,112.84691358024692,372.09643874643865,夢みがちBride,上田麗奈、渡部優衣、桐谷蝶々、阿部里果
2,16,49,6.0,9.555555555555555,122.40246913580248,381.6519943019942,はぴ！やば！まいまいんど！,夏川椎菜、田村奈央、愛美
2,17,10,10.0,16.296296296296298,138.69876543209878,397.9482905982905,ミステイク・マーダー！,山崎はるか、種田梨沙、伊藤美来、雨宮天、末柄里恵
2,18,15,8.0,13.333333333333332,152.03209876543212,411.2816239316238,Vacation VS Summer 〜ナツとヤスミのアンビバレント！〜,諏訪彩花、稲川英里、浜崎奈々、南早紀
2,19,19,8.0,13.62962962962963,165.66172839506174,424.91125356125343,解夏傀儡,原嶋あかり、髙橋ミナミ、阿部里果、渡部恵子
