Day,曲順,候補曲ID,披露期待ポイント,曲順補正済み披露期待ポイント,日付別補正済みポイント累計,補正済みポイント累計,楽曲名,キャスト
1,1,144,3.0,3.1111111111111107,3.1111111111111107,3.1111111111111107,アニマル☆ステイション！,原嶋あかり
1,2,111,4.0,4.296296296296296,7.4074074074074066,7.4074074074074066,Sweet Sweet Soul,麻倉もも、小笠原早紀、稲川英里
1,3,127,4.0,4.444444444444445,11.851851851851851,11.851851851851851,微笑み日和,郁原ゆう
1,4,84,4.875,5.597222222222222,17.449074074074073,17.449074074074073,カワラナイモノ,駒形友梨、浜崎奈々、近藤唯
1,5,71,5.0,5.925925925925926,23.375,23.375,Home is a coming now!,渡部優衣
1,6,75,5.0,6.111111111111112,29.48611111111111,29.48611111111111,たんけんぼうけん☆ハイホー隊,稲川英里
1,7,69,5.0,6.296296296296297,35.782407407407405,35.782407407407405,Come on a Tea Party!,麻倉もも
1,8,67,5.2,6.7407407407407405,42.523148148148145,42.523148148148145,シークレットジュエル 〜魅惑の金剛石〜,山崎はるか、桐谷蝶々、渡部恵子、香里有佐
1,9,27,7.0,9.333333333333332,51.85648148148148,51.85648148148148,エスケープ,藤井ゆきよ、愛美
1,10,51,6.0,8.222222222222221,60.0787037037037,60.0787037037037,ゲキテキ！ムテキ！恋したい！,角元明日香、中村温姫、原嶋あかり
1,11,46,6.0,8.444444444444445,68.52314814814815,68.52314814814815,vivid color,駒形友梨
1,12,50,6.0,8.666666666666666,77.18981481481482,77.18981481481482,カンパリーナ♡,野村香菜子、末柄里恵、平山笑美
1,13,63,6.0,8.88888888888889,86.07870370370371,86.07870370370371,矛盾の月,小岩井ことり、郁原ゆう、南早紀
1,14,31,6.666666666666667,10.123456790123457,96.20216049382717,96.20216049382717,聖ミリオン女学園校歌,近藤唯、斉藤佑圭
1,15,47,6.0,9.333333333333334,105.5354938271605,105.5354938271605,WHY?,山口立花子
1,16,21,7.6923076923076925,12.250712250712251,117.78620607787275,117.78620607787275,サウンド・オブ・ビギニング,Machico、麻倉もも、中村温姫、渡部優衣、野村香菜子、稲川英里、桐谷蝶々、渡部恵子
1,17,30,6.923076923076923,11.282051282051283,129.06825735992402,129.06825735992402,Supersonic Booster!,角元明日香、夏川椎菜、伊藤美来、田村奈央、阿部里果、平山笑美、愛美
1,18,20,7.6923076923076925,12.82051282051282,141.88877018043684,141.88877018043684,オレンジ・エピソード,大関英里、駒形友梨、小岩井ことり、雨宮天、木戸衣吹、浜崎奈々、斉藤佑圭、南早紀
1,19,11,8.333333333333334,14.197530864197532,156.08630104463435,156.08630104463435,Like twinkling STARS,山崎はるか、藤井ゆきよ、小笠原早紀、原嶋あかり、郁原ゆう、末柄里恵、近藤唯、山口立花子、香里有佐
1,20,59,6.0,10.444444444444445,166.5307454890788,166.5307454890788,恋のLesson初級編,Machico
1,21,49,6.0,10.666666666666666,177.19741215574547,177.19741215574547,はぴ！やば！まいまいんど！,夏川椎菜、田村奈央、愛美
1,22,28,7.0,12.703703703703704,189.90111585944916,189.90111585944916,ビギナーズ☆ストライク,斉藤佑圭
1,23,29,7.0,12.962962962962964,202.86407882241213,202.86407882241213,空想文学少女,伊藤美来
1,24,22,7.0,13.222222222222221,216.08630104463435,216.08630104463435,...In The Name Of。 ...LOVE?,阿部里果
1,25,16,8.0,15.407407407407408,231.49370845204177,231.49370845204177,ミスティック・セレモニーへの招待状,Machico、小岩井ことり、木戸衣吹、平山笑美
