Day,曲順,候補曲ID,披露期待ポイント,曲順補正済み披露期待ポイント,日付別補正済みポイント累計,補正済みポイント累計,楽曲名,キャスト
1,1,144,3.0,3.1111111111111107,3.1111111111111107,3.1111111111111107,アニマル☆ステイション！,原嶋あかり
1,2,111,4.0,4.296296296296296,7.4074074074074066,7.4074074074074066,Sweet Sweet Soul,麻倉もも、小笠原早紀、稲川英里
1,3,127,4.0,4.444444444444445,11.851851851851851,11.851851851851851,微笑み日和,郁原ゆう
1,4,84,4.875,5.597222222222222,17.449074074074073,17.449074074074073,カワラナイモノ,駒形友梨、浜崎奈々、近藤唯
1,5,71,5.0,5.925925925925926,23.375,23.375,Home is a coming now!,渡部優衣
1,6,75,5.0,6.111111111111112,29.48611111111111,29.48611111111111,たんけんぼうけん☆ハイホー隊,稲川英里
1,7,69,5.0,6.296296296296297,35.782407407407405,35.782407407407405,Come on a Tea Party!,麻倉もも
1,8,67,5.2,6.7407407407407405,42.523148148148145,42.523148148148145,シークレットジュエル 〜魅惑の金剛石〜,山崎はるか、桐谷蝶々、渡部恵子、香里有佐
1,9,64,6.0,8.0,50.523148148148145,50.523148148148145,赤い世界が消える頃,大関英里、木戸衣吹、阿部里果、近藤唯、平山笑美
1,10,51,6.0,8.222222222222221,58.74537037037037,58.74537037037037,ゲキテキ！ムテキ！恋したい！,角元明日香、中村温姫、原嶋あかり
1,11,63,6.0,8.444444444444445,67.18981481481481,67.18981481481481,矛盾の月,小岩井ことり、郁原ゆう、南早紀
1,12,49,6.0,8.666666666666666,75.85648148148148,75.85648148148148,はぴ！やば！まいまいんど！,夏川椎菜、田村奈央、愛美
1,13,59,6.0,8.88888888888889,84.74537037037037,84.74537037037037,恋のLesson初級編,Machico
1,14,46,6.0,9.11111111111111,93.85648148148148,93.85648148148148,vivid color,駒形友梨
1,15,50,6.0,9.333333333333334,103.18981481481481,103.18981481481481,カンパリーナ♡,野村香菜子、末柄里恵、平山笑美
1,16,27,7.0,11.148148148148149,114.33796296296296,114.33796296296296,エスケープ,藤井ゆきよ、愛美
1,17,26,7.0,11.407407407407408,125.74537037037037,125.74537037037037,あのね、聞いてほしいことがあるんだ,田村奈央
1,18,29,7.0,11.666666666666666,137.41203703703704,137.41203703703704,空想文学少女,伊藤美来
1,19,12,8.25,14.055555555555555,151.46759259259258,151.46759259259258,クルリウタ,角元明日香、小笠原早紀、雨宮天、野村香菜子、香里有佐
1,20,13,8.25,14.36111111111111,165.8287037037037,165.8287037037037,花びらメモリーズ,大関英里、藤井ゆきよ、渡部恵子、南早紀
1,21,22,7.0,12.444444444444443,178.27314814814815,178.27314814814815,...In The Name Of。 ...LOVE?,阿部里果
1,22,28,7.0,12.703703703703704,190.97685185185185,190.97685185185185,ビギナーズ☆ストライク,斉藤佑圭
1,23,47,6.0,11.11111111111111,202.08796296296296,202.08796296296296,WHY?,山口立花子
1,24,21,7.6923076923076925,14.52991452991453,216.61787749287748,216.61787749287748,サウンド・オブ・ビギニング,Machico、麻倉もも、中村温姫、渡部優衣、野村香菜子、稲川英里、桐谷蝶々、渡部恵子
1,25,30,6.923076923076923,13.333333333333334,229.95121082621083,229.95121082621083,Supersonic Booster!,角元明日香、夏川椎菜、伊藤美来、田村奈央、阿部里果、平山笑美、愛美
1,26,20,7.6923076923076925,15.099715099715098,245.05092592592592,245.05092592592592,オレンジ・エピソード,大関英里、駒形友梨、小岩井ことり、雨宮天、木戸衣吹、浜崎奈々、斉藤佑圭、南早紀
