Day,曲順,候補曲ID,披露期待ポイント,曲順補正済み披露期待ポイント,日付別補正済みポイント累計,補正済みポイント累計,楽曲名,キャスト
1,1,149,3.0,3.1111111111111107,3.1111111111111107,3.1111111111111107,ファンタジスタ・カーニバル,角元明日香
1,2,111,4.0,4.296296296296296,7.4074074074074066,7.4074074074074066,Sweet Sweet Soul,麻倉もも、小笠原早紀、稲川英里
1,3,155,3.0,3.3333333333333335,10.74074074074074,10.74074074074074,未来飛行,山崎はるか
1,4,130,4.0,4.592592592592593,15.333333333333332,15.333333333333332,教えてlast note…,近藤唯
1,5,135,3.75,4.444444444444445,19.77777777777778,19.77777777777778,Sentimental Venus,郁原ゆう、阿部里果、山口立花子
1,6,110,4.0,4.888888888888889,24.666666666666668,24.666666666666668,STEREOPHONIC ISOTONIC <req.>,中村温姫
1,7,77,5.0,6.296296296296297,30.962962962962965,30.962962962962965,バトンタッチ,麻倉もも、小笠原早紀、駒形友梨、原嶋あかり、桐谷蝶々
1,8,88,4.5,5.833333333333333,36.7962962962963,36.7962962962963,LOVE is GAME <req.>,大関英里、伊藤美来、小岩井ことり
1,9,80,5.0,6.666666666666666,43.46296296296296,43.46296296296296,電波感傷,南早紀、香里有佐
1,10,71,5.0,6.851851851851851,50.31481481481481,50.31481481481481,Home is a coming now!,渡部優衣
1,11,84,4.875,6.861111111111112,57.175925925925924,57.175925925925924,カワラナイモノ,駒形友梨、浜崎奈々、近藤唯
1,12,39,6.0,8.666666666666666,65.8425925925926,65.8425925925926,CHEER UP! HEARTS UP! <req.>,夏川椎菜、木戸衣吹、愛美
1,13,67,5.2,7.703703703703703,73.5462962962963,73.5462962962963,シークレットジュエル 〜魅惑の金剛石〜,山崎はるか、桐谷蝶々、渡部恵子、香里有佐
1,14,50,6.0,9.11111111111111,82.65740740740742,82.65740740740742,カンパリーナ♡,野村香菜子、末柄里恵、平山笑美
1,15,51,6.0,9.333333333333334,91.99074074074075,91.99074074074075,ゲキテキ！ムテキ！恋したい！,角元明日香、中村温姫、原嶋あかり
1,16,27,7.0,11.148148148148149,103.1388888888889,103.1388888888889,エスケープ,藤井ゆきよ、愛美
1,17,53,6.0,9.777777777777779,112.91666666666669,112.91666666666669,スペードのQ <req.>,郁原ゆう、雨宮天、斉藤佑圭
1,18,47,6.0,10.0,122.91666666666669,122.91666666666669,WHY?,山口立花子
1,19,21,7.6923076923076925,13.105413105413106,136.0220797720798,136.0220797720798,サウンド・オブ・ビギニング,Machico、麻倉もも、中村温姫、渡部優衣、野村香菜子、稲川英里、桐谷蝶々、渡部恵子
1,20,30,6.923076923076923,12.051282051282051,148.07336182336184,148.07336182336184,Supersonic Booster!,角元明日香、夏川椎菜、伊藤美来、田村奈央、阿部里果、平山笑美、愛美
1,21,20,7.6923076923076925,13.675213675213675,161.74857549857552,161.74857549857552,オレンジ・エピソード,大関英里、駒形友梨、小岩井ことり、雨宮天、木戸衣吹、浜崎奈々、斉藤佑圭、南早紀
1,22,11,8.333333333333334,15.12345679012346,176.872032288699,176.872032288699,Like twinkling STARS,山崎はるか、藤井ゆきよ、小笠原早紀、原嶋あかり、郁原ゆう、末柄里恵、近藤唯、山口立花子、香里有佐
1,23,59,6.0,11.11111111111111,187.9831433998101,187.9831433998101,恋のLesson初級編,Machico
1,24,22,7.0,13.222222222222221,201.20536562203233,201.20536562203233,...In The Name Of。 ...LOVE?,阿部里果
1,25,26,7.0,13.481481481481483,214.68684710351383,214.68684710351383,あのね、聞いてほしいことがあるんだ,田村奈央
1,26,13,8.25,16.194444444444443,230.88129154795826,230.88129154795826,花びらメモリーズ,大関英里、藤井ゆきよ、渡部恵子、南早紀
1,27,16,8.0,16.0,246.88129154795826,246.88129154795826,ミスティック・セレモニーへの招待状 <req.>,Machico、小岩井ことり、木戸衣吹、平山笑美
2,1,169,0.0,0.0,0.0,246.88129154795826,"Good-Sleep, Baby♡",原嶋あかり、木戸衣吹、稲川英里
2,2,160,2.0,2.148148148148148,2.148148148148148,249.0294396961064,Hang In There!,大関英里、渡部優衣
2,3,116,4.0,4.444444444444445,6.592592592592593,253.47388414055087,オーディナリィ・クローバー,田所あずさ、夏川椎菜、桐谷蝶々、山口立花子、香里有佐
2,4,98,4.0,4.592592592592593,11.185185185185185,258.0664767331435,Eternal Harmony,諏訪彩花、郁原ゆう、末柄里恵、愛美
2,5,119,4.0,4.7407407407407405,15.925925925925926,262.80721747388424,ハルマチ女子,Machico、小笠原早紀、近藤唯
2,6,118,4.0,4.888888888888889,20.814814814814817,267.69610636277315,ドリームトラベラー,大関英里、原嶋あかり、田村奈央、髙橋ミナミ
2,7,103,4.0,5.037037037037037,25.851851851851855,272.73314339981016,"HOME, SWEET FRIENDSHIP",村川梨衣、渡部優衣、浜崎奈々、渡部恵子
2,8,136,3.75,4.861111111111111,30.712962962962965,277.59425451092125,VOY@GER <req.>,夏川椎菜、上田麗奈、南早紀
2,9,99,4.0,5.333333333333333,36.0462962962963,282.92758784425456,Everlasting,藤井ゆきよ、小岩井ことり、野村香菜子、山口立花子
2,10,83,4.875,6.680555555555555,42.726851851851855,289.6081433998101,Marionetteは眠らない,Machico、平山笑美、愛美
2,11,60,6.0,8.444444444444445,51.1712962962963,298.05258784425456,春風満帆スターティング <req.>,田所あずさ、浜崎奈々、斉藤佑圭
2,12,125,4.0,5.777777777777778,56.949074074074076,303.83036562203233,ラスト・アクトレス <req.>,種田梨沙、髙橋ミナミ、阿部里果、渡部恵子、南早紀
2,13,62,6.0,8.88888888888889,65.83796296296296,312.71925451092125,産声とクラブ <req.>,麻倉もも、中村温姫、上田麗奈
2,14,72,5.0,7.5925925925925934,73.43055555555556,320.31184710351386,P.S I Love You,小岩井ことり、野村香菜子、近藤唯
2,15,43,6.0,9.333333333333334,82.76388888888889,329.64518043684717,Precious Grain,田所あずさ
2,16,46,6.0,9.555555555555555,92.31944444444444,339.2007359924027,vivid color,駒形友梨
2,17,40,6.0,9.777777777777779,102.09722222222223,348.9785137701805,dans l'obscurité <req.>,夏川椎菜、中村温姫、伊藤美来、阿部里果、斉藤佑圭
2,18,12,8.25,13.749999999999998,115.84722222222223,362.7285137701805,クルリウタ,角元明日香、小笠原早紀、雨宮天、野村香菜子、香里有佐
2,19,34,6.4,10.903703703703705,126.75092592592594,373.63221747388417,Clover's Cry 〜神と神降ろしの少女〜,田村奈央、渡部優衣、髙橋ミナミ、稲川英里
2,20,37,6.4,11.14074074074074,137.89166666666668,384.7729582146249,紙・心・ペン・心 - SHISHINPENSHIN -,駒形友梨、村川梨衣、浜崎奈々、平山笑美
2,21,56,6.0,10.666666666666666,148.55833333333334,395.4396248812916,メメント？モメント♪ルルルルル☆,山崎はるか、諏訪彩花、桐谷蝶々
2,22,1,10.0,18.14814814814815,166.7064814814815,413.58777302943975,Clover Days <req.>,麻倉もも、上田麗奈、雨宮天、木戸衣吹
2,23,8,10.0,18.51851851851852,185.22500000000002,432.1062915479583,オレンジノキオク,種田梨沙、藤井ゆきよ、伊藤美来、稲川英里、末柄里恵
2,24,6,10.0,18.88888888888889,204.1138888888889,450.9951804368472,アイドルは、かく語りき <req.>,村川梨衣
2,25,4,10.0,19.25925925925926,223.37314814814818,470.25443969610643,Unknown Boxの開き方 <req.>,角元明日香、諏訪彩花、郁原ゆう、田村奈央、斉藤佑圭
2,26,2,10.0,19.629629629629626,243.0027777777778,489.88406932573605,Dual Style Idol <req.>,戸田めぐみ
2,27,10,10.0,20.0,263.0027777777778,509.88406932573605,ミステイク・マーダー！ <req.>,山崎はるか、種田梨沙、伊藤美来、雨宮天、末柄里恵
