Day,曲順,候補曲ID,披露期待ポイント,曲順補正済み披露期待ポイント,日付別補正済みポイント累計,補正済みポイント累計,楽曲名,キャスト
1,1,144,3.0,3.1111111111111107,3.1111111111111107,3.1111111111111107,アニマル☆ステイション！,原嶋あかり
1,2,135,3.75,4.027777777777778,7.138888888888888,7.138888888888888,Sentimental Venus,郁原ゆう、阿部里果、山口立花子
1,3,110,4.0,4.444444444444445,11.583333333333332,11.583333333333332,STEREOPHONIC ISOTONIC,中村温姫
1,4,87,4.5,5.166666666666667,16.75,16.75,KING of SPADE,小笠原早紀、末柄里恵、南早紀
1,5,85,4.8,5.688888888888888,22.43888888888889,22.43888888888889,星屑のシンフォニア,駒形友梨、小岩井ことり、野村香菜子、斉藤佑圭
1,6,44,6.0,7.333333333333334,29.772222222222226,29.772222222222226,Special Wonderful Smile,麻倉もも、田村奈央、桐谷蝶々、近藤唯
1,7,70,5.0,6.296296296296297,36.06851851851852,36.06851851851852,ENTER→PLEASURE,夏川椎菜
1,8,71,5.0,6.481481481481481,42.550000000000004,42.550000000000004,Home is a coming now!,渡部優衣
1,9,38,6.0,8.0,50.550000000000004,50.550000000000004,Bonnes! Bonnes!! Vacances!!!,Machico、大関英里、浜崎奈々
1,10,67,5.2,7.125925925925926,57.67592592592593,57.67592592592593,シークレットジュエル 〜魅惑の金剛石〜,山崎はるか、桐谷蝶々、渡部恵子、香里有佐
1,11,51,6.0,8.444444444444445,66.12037037037038,66.12037037037038,ゲキテキ！ムテキ！恋したい！,角元明日香、中村温姫、原嶋あかり
1,12,49,6.0,8.666666666666666,74.78703703703705,74.78703703703705,はぴ！やば！まいまいんど！,夏川椎菜、田村奈央、愛美
1,13,46,6.0,8.88888888888889,83.67592592592594,83.67592592592594,vivid color,駒形友梨
1,14,47,6.0,9.11111111111111,92.78703703703705,92.78703703703705,WHY?,山口立花子
1,15,21,7.6923076923076925,11.965811965811966,104.75284900284902,104.75284900284902,サウンド・オブ・ビギニング,Machico、麻倉もも、中村温姫、渡部優衣、野村香菜子、稲川英里、桐谷蝶々、渡部恵子
1,16,30,6.923076923076923,11.025641025641026,115.77849002849004,115.77849002849004,Supersonic Booster!,角元明日香、夏川椎菜、伊藤美来、田村奈央、阿部里果、平山笑美、愛美
1,17,20,7.6923076923076925,12.535612535612536,128.31410256410257,128.31410256410257,オレンジ・エピソード,大関英里、駒形友梨、小岩井ことり、雨宮天、木戸衣吹、浜崎奈々、斉藤佑圭、南早紀
1,18,11,8.333333333333334,13.88888888888889,142.20299145299145,142.20299145299145,Like twinkling STARS,山崎はるか、藤井ゆきよ、小笠原早紀、原嶋あかり、郁原ゆう、末柄里恵、近藤唯、山口立花子、香里有佐
1,19,75,5.0,8.518518518518519,150.72150997151,150.72150997151,たんけんぼうけん☆ハイホー隊,稲川英里
1,20,22,7.0,12.185185185185185,162.90669515669518,162.90669515669518,...In The Name Of。 ...LOVE?,阿部里果
1,21,25,7.0,12.444444444444443,175.3511396011396,175.3511396011396,piece of cake,雨宮天、平山笑美
1,22,27,7.0,12.703703703703704,188.0548433048433,188.0548433048433,エスケープ,藤井ゆきよ、愛美
1,23,28,7.0,12.962962962962964,201.01780626780626,201.01780626780626,ビギナーズ☆ストライク,斉藤佑圭
1,24,29,7.0,13.222222222222221,214.2400284900285,214.2400284900285,空想文学少女,伊藤美来
1,25,16,8.0,15.407407407407408,229.6474358974359,229.6474358974359,ミスティック・セレモニーへの招待状,Machico、小岩井ことり、木戸衣吹、平山笑美
1,26,12,8.25,16.194444444444443,245.84188034188037,245.84188034188037,クルリウタ,角元明日香、小笠原早紀、雨宮天、野村香菜子、香里有佐
1,27,13,8.25,16.5,262.34188034188037,262.34188034188037,花びらメモリーズ,大関英里、藤井ゆきよ、渡部恵子、南早紀
2,1,160,2.0,2.074074074074074,2.074074074074074,264.41595441595445,Hang In There!,大関英里、渡部優衣
2,2,114,4.0,4.296296296296296,6.37037037037037,268.71225071225075,White Vows,野村香菜子、髙橋ミナミ、末柄里恵、山口立花子、香里有佐
2,3,131,4.0,4.444444444444445,10.814814814814815,273.1566951566952,餞の鳥,田所あずさ、愛美
2,4,130,4.0,4.592592592592593,15.407407407407408,277.7492877492878,教えてlast note…,近藤唯
2,5,111,4.0,4.7407407407407405,20.14814814814815,282.4900284900286,Sweet Sweet Soul,麻倉もも、小笠原早紀、稲川英里
2,6,147,3.0,3.666666666666667,23.814814814814817,286.15669515669526,サンリズム・オーケストラ♪,Machico、角元明日香、大関英里、夏川椎菜、中村温姫、原嶋あかり、郁原ゆう、田村奈央、木戸衣吹、渡部優衣、浜崎奈々、山口立花子、香里有佐
2,7,117,4.0,5.037037037037037,28.851851851851855,291.1937321937323,スタートリップ,愛美
2,8,72,5.0,6.481481481481481,35.333333333333336,297.67521367521374,P.S I Love You,小岩井ことり、野村香菜子、近藤唯
2,9,56,6.0,8.0,43.333333333333336,305.67521367521374,メメント？モメント♪ルルルルル☆,山崎はるか、諏訪彩花、桐谷蝶々
2,10,37,6.4,8.77037037037037,52.10370370370371,314.4455840455841,紙・心・ペン・心 - SHISHINPENSHIN -,駒形友梨、村川梨衣、浜崎奈々、平山笑美
2,11,43,6.0,8.444444444444445,60.54814814814815,322.89002849002856,Precious Grain,田所あずさ
2,12,63,6.0,8.666666666666666,69.21481481481482,331.55669515669524,矛盾の月,小岩井ことり、郁原ゆう、南早紀
2,13,31,6.666666666666667,9.876543209876543,79.09135802469136,341.4332383665718,聖ミリオン女学園校歌,近藤唯、斉藤佑圭
2,14,52,6.0,9.11111111111111,88.20246913580247,350.5443494776829,ショコラブル＊イブ,山崎はるか、藤井ゆきよ、小笠原早紀、夏川椎菜、駒形友梨
2,15,65,6.0,9.333333333333334,97.5358024691358,359.8776828110162,（※「悪役？令嬢」楽曲）,田所あずさ、村川梨衣、木戸衣吹
2,16,18,8.0,12.74074074074074,110.27654320987654,372.61842355175696,夢みがちBride,上田麗奈、渡部優衣、桐谷蝶々、阿部里果
2,17,15,8.0,13.037037037037038,123.31358024691357,385.65546058879397,Vacation VS Summer 〜ナツとヤスミのアンビバレント！〜,諏訪彩花、稲川英里、浜崎奈々、南早紀
2,18,10,10.0,16.666666666666664,139.98024691358023,402.32212725546066,ミステイク・マーダー！,山崎はるか、種田梨沙、伊藤美来、雨宮天、末柄里恵
2,19,7,10.0,17.037037037037038,157.01728395061727,419.35916429249767,エンダーエンダー,Machico、麻倉もも、中村温姫、戸田めぐみ、平山笑美
2,20,19,8.0,13.925925925925926,170.9432098765432,433.2850902184236,解夏傀儡,原嶋あかり、髙橋ミナミ、阿部里果、渡部恵子
2,21,9,10.0,17.77777777777778,188.72098765432096,451.06286799620136,美！美！美！ビルドUP!!,上田麗奈
2,22,8,10.0,18.14814814814815,206.86913580246912,469.2110161443495,オレンジノキオク,種田梨沙、藤井ゆきよ、伊藤美来、稲川英里、末柄里恵
