Day,曲順,候補曲ID,披露期待ポイント,曲順補正済み披露期待ポイント,日付別補正済みポイント累計,補正済みポイント累計,楽曲名,キャスト
1,1,45,6.0,6.222222222222221,6.222222222222221,6.222222222222221,Starry Melody,山崎はるか、麻倉もも、小笠原早紀、雨宮天、稲川英里、末柄里恵、桐谷蝶々、渡部恵子
1,2,135,3.75,4.027777777777778,10.25,10.25,Sentimental Venus,郁原ゆう、阿部里果、山口立花子
1,3,130,4.0,4.444444444444445,14.694444444444445,14.694444444444445,教えてlast note…,近藤唯
1,4,144,3.0,3.4444444444444446,18.13888888888889,18.13888888888889,アニマル☆ステイション！,原嶋あかり
1,5,71,5.0,5.925925925925926,24.064814814814817,24.064814814814817,Home is a coming now!,渡部優衣
1,6,75,5.0,6.111111111111112,30.175925925925927,30.175925925925927,たんけんぼうけん☆ハイホー隊,稲川英里
1,7,50,6.0,7.555555555555555,37.73148148148148,37.73148148148148,カンパリーナ♡,野村香菜子、末柄里恵、平山笑美
1,8,51,6.0,7.777777777777778,45.50925925925926,45.50925925925926,ゲキテキ！ムテキ！恋したい！,角元明日香、中村温姫、原嶋あかり
1,9,80,5.0,6.666666666666666,52.175925925925924,52.175925925925924,電波感傷,南早紀、香里有佐
1,10,49,6.0,8.222222222222221,60.398148148148145,60.398148148148145,はぴ！やば！まいまいんど！,夏川椎菜、田村奈央、愛美
1,11,31,6.666666666666667,9.382716049382717,69.78086419753086,69.78086419753086,聖ミリオン女学園校歌,近藤唯、斉藤佑圭
1,12,21,7.6923076923076925,11.11111111111111,80.89197530864197,80.89197530864197,サウンド・オブ・ビギニング,Machico、麻倉もも、中村温姫、渡部優衣、野村香菜子、稲川英里、桐谷蝶々、渡部恵子
1,13,46,6.0,8.88888888888889,89.78086419753086,89.78086419753086,vivid color,駒形友梨
1,14,30,6.923076923076923,10.512820512820515,100.29368471035137,100.29368471035137,Supersonic Booster!,角元明日香、夏川椎菜、伊藤美来、田村奈央、阿部里果、平山笑美、愛美
1,15,155,3.0,4.666666666666667,104.96035137701804,104.96035137701804,未来飛行,山崎はるか
1,16,47,6.0,9.555555555555555,114.5159069325736,114.5159069325736,WHY?,山口立花子
1,17,20,7.6923076923076925,12.535612535612536,127.05151946818614,127.05151946818614,オレンジ・エピソード,大関英里、駒形友梨、小岩井ことり、雨宮天、木戸衣吹、浜崎奈々、斉藤佑圭、南早紀
1,18,27,7.0,11.666666666666666,138.7181861348528,138.7181861348528,エスケープ,藤井ゆきよ、愛美
1,19,26,7.0,11.925925925925926,150.64411206077872,150.64411206077872,あのね、聞いてほしいことがあるんだ,田村奈央
1,20,22,7.0,12.185185185185185,162.82929724596391,162.82929724596391,...In The Name Of。 ...LOVE?,阿部里果
1,21,38,6.0,10.666666666666666,173.49596391263057,173.49596391263057,Bonnes! Bonnes!! Vacances!!!,Machico、大関英里、浜崎奈々
1,22,11,8.333333333333334,15.12345679012346,188.61942070275404,188.61942070275404,Like twinkling STARS,山崎はるか、藤井ゆきよ、小笠原早紀、原嶋あかり、郁原ゆう、末柄里恵、近藤唯、山口立花子、香里有佐
1,23,28,7.0,12.962962962962964,201.582383665717,201.582383665717,ビギナーズ☆ストライク,斉藤佑圭
1,24,29,7.0,13.222222222222221,214.80460588793923,214.80460588793923,空想文学少女,伊藤美来
1,25,16,8.0,15.407407407407408,230.21201329534665,230.21201329534665,ミスティック・セレモニーへの招待状,Machico、小岩井ことり、木戸衣吹、平山笑美
1,26,13,8.25,16.194444444444443,246.4064577397911,246.4064577397911,花びらメモリーズ,大関英里、藤井ゆきよ、渡部恵子、南早紀
1,27,12,8.25,16.5,262.9064577397911,262.9064577397911,クルリウタ,角元明日香、小笠原早紀、雨宮天、野村香菜子、香里有佐
2,1,147,3.0,3.1111111111111107,3.1111111111111107,266.0175688509022,サンリズム・オーケストラ♪,Machico、角元明日香、大関英里、夏川椎菜、中村温姫、原嶋あかり、郁原ゆう、田村奈央、木戸衣吹、渡部優衣、浜崎奈々、山口立花子、香里有佐
2,2,153,3.0,3.222222222222222,6.333333333333332,269.2397910731244,待ちぼうけのLacrima,駒形友梨、平山笑美、愛美
2,3,72,5.0,5.555555555555555,11.888888888888888,274.79534662867997,P.S I Love You,小岩井ことり、野村香菜子、近藤唯
2,4,41,6.0,6.888888888888889,18.77777777777778,281.6842355175689,dear...,髙橋ミナミ
2,5,116,4.0,4.7407407407407405,23.51851851851852,286.42497625830964,オーディナリィ・クローバー,田所あずさ、夏川椎菜、桐谷蝶々、山口立花子、香里有佐
2,6,117,4.0,4.888888888888889,28.40740740740741,291.31386514719856,スタートリップ,愛美
2,7,64,6.0,7.555555555555555,35.96296296296296,298.8694207027541,赤い世界が消える頃,大関英里、木戸衣吹、阿部里果、近藤唯、平山笑美
2,8,58,6.0,7.777777777777778,43.74074074074074,306.64719848053187,創造は始まりの風を連れて,麻倉もも、中村温姫、伊藤美来、村川梨衣、小岩井ことり
2,9,60,6.0,8.0,51.74074074074074,314.64719848053187,春風満帆スターティング,田所あずさ、浜崎奈々、斉藤佑圭
2,10,52,6.0,8.222222222222221,59.96296296296296,322.8694207027541,ショコラブル＊イブ,山崎はるか、藤井ゆきよ、小笠原早紀、夏川椎菜、駒形友梨
2,11,24,7.0,9.851851851851851,69.81481481481481,332.72127255460595,Decided,諏訪彩花、髙橋ミナミ
2,12,63,6.0,8.666666666666666,78.48148148148148,341.38793922127263,矛盾の月,小岩井ことり、郁原ゆう、南早紀
2,13,43,6.0,8.88888888888889,87.37037037037037,350.27682811016155,Precious Grain,田所あずさ
2,14,8,10.0,15.185185185185187,102.55555555555556,365.4620132953467,オレンジノキオク,種田梨沙、藤井ゆきよ、伊藤美来、稲川英里、末柄里恵
2,15,68,5.0,7.777777777777778,110.33333333333333,373.2397910731245,catch my feeling,中村温姫、村川梨衣、渡部優衣、野村香菜子、髙橋ミナミ、渡部恵子
2,16,59,6.0,9.555555555555555,119.88888888888889,382.79534662868,恋のLesson初級編,Machico
2,17,77,5.0,8.148148148148149,128.03703703703704,390.9434947768282,バトンタッチ,麻倉もも、小笠原早紀、駒形友梨、原嶋あかり、桐谷蝶々
2,18,9,10.0,16.666666666666664,144.7037037037037,407.61016144349486,美！美！美！ビルドUP!!,上田麗奈
2,19,54,6.0,10.222222222222221,154.92592592592592,417.8323836657171,デコレーション・ドリ〜ミンッ♪,渡部恵子
2,20,15,8.0,13.925925925925926,168.85185185185185,431.758309591643,Vacation VS Summer 〜ナツとヤスミのアンビバレント！〜,諏訪彩花、稲川英里、浜崎奈々、南早紀
2,21,10,10.0,17.77777777777778,186.62962962962962,449.5360873694208,ミステイク・マーダー！,山崎はるか、種田梨沙、伊藤美来、雨宮天、末柄里恵
2,22,18,8.0,14.518518518518519,201.14814814814815,464.0546058879393,夢みがちBride,上田麗奈、渡部優衣、桐谷蝶々、阿部里果
2,23,6,10.0,18.51851851851852,219.66666666666669,482.57312440645785,アイドルは、かく語りき,村川梨衣
2,24,4,10.0,18.88888888888889,238.55555555555557,501.46201329534676,Unknown Boxの開き方,角元明日香、諏訪彩花、郁原ゆう、田村奈央、斉藤佑圭
2,25,3,10.0,19.25925925925926,257.81481481481484,520.721272554606,Sing a Wing Song,種田梨沙
2,26,1,10.0,19.629629629629626,277.44444444444446,540.3509021842357,Clover Days,麻倉もも、上田麗奈、雨宮天、木戸衣吹
2,27,2,10.0,20.0,297.44444444444446,560.3509021842357,Dual Style Idol,戸田めぐみ
