-,楽曲名,MS披露期待ポイント,Day1,Day2,キャスト
66,REFRAIN REL@TION,0.0,×,○,山崎はるか、田所あずさ、Machico、南早紀、香里有佐
67,ReTale,2.0,×,○,藤井ゆきよ、村川梨衣、木戸衣吹
68,Sentimental Venus,3.75,○,○,郁原ゆう、阿部里果、山口立花子
69,Shamrock Vivace,4.230769230769231,△,○,角元明日香、麻倉もも、中村温姫、上田麗奈、田村奈央、渡部優衣、野村香菜子、髙橋ミナミ、稲川英里、阿部里果
70,Shooting Stars,5.0,×,○,田所あずさ、麻倉もも、小笠原早紀、雨宮天、平山笑美
71,Sing a Wing Song,10.0,×,○,種田梨沙
72,Smiling Crescent,0.0,○,○,麻倉もも、桐谷蝶々
73,Special Wonderful Smile,6.0,○,○,麻倉もも、田村奈央、桐谷蝶々、近藤唯
74,STANDING ALIVE,4.0,○,○,角元明日香、中村温姫、近藤唯、山口立花子
75,Star Impression,5.0,○,○,大関英里、夏川椎菜、小岩井ことり、雨宮天
76,Starry Melody,6.0,△,○,山崎はるか、諏訪彩花、麻倉もも、小笠原早紀、村川梨衣、上田麗奈、雨宮天、髙橋ミナミ、稲川英里、末柄里恵、桐谷蝶々、渡部恵子
77,STEREOPHONIC ISOTONIC,4.0,○,○,中村温姫
78,SUPER SIZE LOVE!!,3.0,○,○,大関英里
79,Supersonic Booster!,6.923076923076923,△,○,角元明日香、夏川椎菜、伊藤美来、上田麗奈、田村奈央、髙橋ミナミ、阿部里果、平山笑美、愛美
80,Sweet Sweet Soul,4.0,○,○,麻倉もも、小笠原早紀、稲川英里
81,Tomorrow Program,4.0,×,○,伊藤美来、村川梨衣、原嶋あかり
82,Understand? Understand!,4.0,×,○,種田梨沙、上田麗奈
83,Unknown Boxの開き方,10.0,×,○,角元明日香、諏訪彩花、郁原ゆう、田村奈央、斉藤佑圭
84,Vacation VS Summer 〜ナツとヤスミのアンビバレント！〜,8.0,×,○,諏訪彩花、稲川英里、浜崎奈々、南早紀
85,vivid color,6.0,○,○,駒形友梨
86,VOY@GER,3.75,×,○,夏川椎菜、上田麗奈、南早紀
87,White Vows,4.0,×,○,野村香菜子、髙橋ミナミ、末柄里恵、山口立花子、香里有佐
88,WHY?,6.0,○,○,山口立花子
89,あのね、聞いてほしいことがあるんだ,7.0,○,○,田村奈央
90,おまじない,6.0,○,○,木戸衣吹
91,たんけんぼうけん☆ハイホー隊,5.0,○,○,稲川英里
92,だってあなたはプリンセス,4.0,×,○,諏訪彩花、郁原ゆう
93,はぴ！やば！まいまいんど！,6.0,○,○,夏川椎菜、田村奈央、愛美
94,わたしは花、あなたは太陽,10.0,×,○,伊藤美来、髙橋ミナミ、渡部恵子
